Time,GroupCount_mild_data,Mean_Energy,Temperature,Humidity,Cloud_Cover,Precipitation,Wind_Speed,Season,hour,day,GroupCount_baseline_mild,mean_Mean_Energy,normalized_nrg
2012-07-15 08:00:00,295,0.604881355932203,9.4,71,5,0,10.5,Winter,8,Sunday,140,0.64574115966682,-0.0408598037346166
2012-07-15 09:00:00,295,0.735006779661017,10.6,65,1,0,11.8,Winter,9,Sunday,140,0.612657604178514,0.122349175482503
2012-07-15 10:00:00,295,0.738230508474576,11.7,60,1,0,18.4,Winter,10,Sunday,140,0.587075916516927,0.151154591957649
2012-07-15 11:00:00,295,0.697257627118644,12.8,57,1,0,20.6,Winter,11,Sunday,140,0.556872775460021,0.140384851658623
2012-07-15 12:00:00,295,0.647610169491526,13.7,54,1,0,19.5,Winter,12,Sunday,140,0.547028476340389,0.100581693151137
2012-07-15 13:00:00,295,0.670674576271187,14.3,52,1,0,17.6,Winter,13,Sunday,140,0.531575208035486,0.139099368235701
2012-07-15 14:00:00,295,0.601667796610169,14.5,50,0,0,17.2,Winter,14,Sunday,140,0.516608977241176,0.0850588193689933
2012-07-15 15:00:00,295,0.682027118644068,14.2,50,1,0,17.4,Winter,15,Sunday,140,0.526741986698393,0.155285131945675
2012-07-15 16:00:00,295,0.597328813559322,13.5,52,6,0,15.5,Winter,16,Sunday,140,0.603068593442235,-0.00573977988291319
2012-07-15 17:00:00,295,0.736216949152542,13.1,54,9,0,14.4,Winter,17,Sunday,140,0.761837636601056,-0.0256206874485141
2012-07-15 18:00:00,295,0.920172881355932,12,56,4,0,13,Winter,18,Sunday,140,0.941712126560312,-0.02153924520438
2012-07-15 19:00:00,295,1.05696949152542,11.1,57,1,0,11.5,Winter,19,Sunday,140,0.965267531083603,0.0917019604418171
2012-07-15 20:00:00,295,1.04952542372881,10.3,58,1,0,13.3,Winter,20,Sunday,140,0.926066915898844,0.123458507829966
2012-07-15 21:00:00,295,1.01009830508475,9.8,59,1,0,13.7,Winter,21,Sunday,140,0.890853351183525,0.119244953901225
2012-07-15 22:00:00,295,0.892010169491525,9.5,60,0,0,14.1,Winter,22,Sunday,140,0.792644978579614,0.099365190911911
2012-07-15 23:00:00,295,0.806986440677966,9.3,61,0,0,14.8,Winter,23,Sunday,140,0.66528951225206,0.141696928425906
2012-07-16 00:00:00,295,0.650708474576271,9.4,63,0,0,15.5,Winter,0,Monday,139,0.547664389669423,0.103044084906848
2012-07-16 01:00:00,295,0.48986779661017,9.5,65,1,0,15.8,Winter,1,Monday,139,0.462222043329248,0.0276457532809216
2012-07-16 02:00:00,295,0.397986440677966,9.7,66,1,0,14.9,Winter,2,Monday,139,0.411922837474335,-0.0139363967963687
2012-07-16 03:00:00,295,0.39755593220339,9.7,68,0,0,13.2,Winter,3,Monday,139,0.383610755051339,0.0139451771520506
2012-07-16 04:00:00,295,0.383318644067797,9.7,70,1,0,11.6,Winter,4,Monday,139,0.386341329845606,-0.00302268577780934
2012-07-16 05:00:00,295,0.446427118644068,9.9,70,1,0,9.7,Winter,5,Monday,139,0.466074384591943,-0.0196472659478752
2012-07-16 06:00:00,295,0.532494915254238,9.8,72,2,0,8.3,Winter,6,Monday,139,0.524217115863821,0.00827779939041673
2012-07-16 07:00:00,295,0.693413559322034,9.7,74,1,0,6.9,Winter,7,Monday,139,0.588073205855557,0.105340353466477
2012-07-16 08:00:00,295,0.7456,9.9,76,0,0,6.9,Winter,8,Monday,140,0.64574115966682,0.0998588403331804
2012-07-16 09:00:00,295,0.688925423728813,11.3,73,0,0,5.8,Winter,9,Monday,140,0.612657604178514,0.0762678195502995
2012-07-16 10:00:00,295,0.585527301878149,13.1,67,0,0,5,Winter,10,Monday,140,0.587075916516927,-0.00154861463877831
2012-07-16 11:00:00,296,0.553439189189189,14.6,63,0,0,5.4,Winter,11,Monday,140,0.556872775460021,-0.00343358627083179
2012-07-16 12:00:00,296,0.539868243243243,15.7,60,0,0,4,Winter,12,Monday,140,0.547028476340389,-0.0071602330971462
2012-07-16 13:00:00,296,0.514006756756757,16.4,57,0,0,1.1,Winter,13,Monday,140,0.531575208035486,-0.0175684512787286
2012-07-16 14:00:00,296,0.49702027027027,16.7,56,0,0,2.1,Winter,14,Monday,140,0.516608977241176,-0.0195887069709057
2012-07-16 15:00:00,296,0.492939189189189,16.6,56,0,0,5,Winter,15,Monday,140,0.526741986698393,-0.033802797509204
2012-07-16 16:00:00,297,0.573491582491582,16,61,0,0,6,Winter,16,Monday,140,0.603068593442235,-0.0295770109506531
2012-07-16 17:00:00,297,0.729855218855219,15,63,0,0,7.4,Winter,17,Monday,140,0.761837636601056,-0.0319824177458371
2012-07-16 18:00:00,297,0.942013468013468,13.9,68,0,0,8.2,Winter,18,Monday,140,0.941712126560312,0.000301341453155968
2012-07-16 19:00:00,297,0.991333333333333,13.3,71,0,0,8.4,Winter,19,Monday,140,0.965267531083603,0.0260658022497301
2012-07-16 20:00:00,297,0.937178451178451,13,74,0,0,8.1,Winter,20,Monday,140,0.926066915898844,0.011111535279607
2012-07-16 21:00:00,297,0.935670033670034,12.8,76,0,0,7.8,Winter,21,Monday,140,0.890853351183525,0.0448166824865092
2012-07-16 22:00:00,297,0.910148148148148,12.6,77,0,0,7.9,Winter,22,Monday,140,0.792644978579614,0.117503169568534
2012-07-16 23:00:00,297,0.725259259259259,12.3,79,0,0,7.9,Winter,23,Monday,140,0.66528951225206,0.0599697470071993
2012-07-17 00:00:00,297,0.565063973063973,11.7,82,0,0,7.1,Winter,0,Tuesday,139,0.547664389669423,0.0173995833945496
2012-07-17 01:00:00,297,0.461212121212121,11,85,2,0,6.5,Winter,1,Tuesday,139,0.462222043329248,-0.00100992211712742
2012-07-17 02:00:00,297,0.420104377104377,10.4,87,2,0,6.3,Winter,2,Tuesday,139,0.411922837474335,0.00818153963004231
2012-07-17 03:00:00,297,0.412676767676768,9.8,88,0,0,5.9,Winter,3,Tuesday,139,0.383610755051339,0.0290660126254286
2012-07-17 04:00:00,297,0.408703703703704,9.3,89,2,0,5.4,Winter,4,Tuesday,139,0.386341329845606,0.0223623738580977
2012-07-17 05:00:00,297,0.477723905723906,8.8,88,0,0,5.8,Winter,5,Tuesday,139,0.466074384591943,0.0116495211319628
2012-07-17 06:00:00,297,0.592454545454545,8.5,88,0,0,6.6,Winter,6,Tuesday,139,0.524217115863821,0.0682374295907238
2012-07-17 07:00:00,297,0.736707070707071,8.4,88,0,0,7.6,Winter,7,Tuesday,139,0.588073205855557,0.148633864851514
2012-07-17 08:00:00,297,0.724895622895623,9,86,0,0,7.1,Winter,8,Tuesday,140,0.64574115966682,0.0791544632288034
2012-07-17 09:00:00,297,0.613434343434343,10.8,77,0,0,6.2,Winter,9,Tuesday,140,0.612657604178514,0.000776739255829439
2012-07-17 10:00:00,297,0.575821548821549,12.7,68,0,0,7,Winter,10,Tuesday,140,0.587075916516927,-0.0112543676953784
2012-07-17 11:00:00,297,0.507363636363636,14.3,61,0,0,8.2,Winter,11,Tuesday,140,0.556872775460021,-0.0495091390963848
2012-07-17 12:00:00,305,0.502868445301618,15.8,55,0,0,9.1,Winter,12,Tuesday,140,0.547028476340389,-0.0441600310387712
2012-07-17 13:00:00,306,0.508209150326797,16.8,52,0,0,9.8,Winter,13,Tuesday,140,0.531575208035486,-0.0233660577086886
